citing_assignee_organization,cpc_subclass_title,citation_count
PRATT & WHITNEY CANADA CORP.,"Adaptations of machines or engines for special use; Combinations of engines with devices driven thereby -Adaptations for driving, or combinations with, electric generators",1
PRATT & WHITNEY CANADA CORP.,Synchronous motors having permanent magnets; Synchronous generators having permanent  magnets-Details-Windings on magnets for additional excitation ; ; Windings and magnets for additional excitation-with rotating permanent magnets and stationary field winding,1
PROLIFIC TECHNOLOGY INC.,Arrangements for controlling synchronous motors or other dynamo-electric motors using electronic commutation dependent on the rotor position; Electronic commutators therefor -Arrangements for controlling the speed or torque of a single motor,1
PROTEAN ELECTRIC LIMITED,"Methods or circuit arrangements for monitoring or controlling batteries or fuel cells, specially adapted for electric vehicles-for monitoring or controlling batteries-responding to state of charge [SoC]",1
PaloDEx Group Oy,"Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment -Constructional features of apparatus for radiation diagnosis-related to hygiene or sterilisation",1
Panasonic Corporation,"Arrangements or adaptations of optical signalling or lighting devices -the devices being primarily intended to indicate the vehicle, or parts thereof, or to give signals, to other traffic -for indicating braking action or preparation for braking, ; e.g. by detection of the foot approaching the brake pedal-Electric switches operable by the driver's pedals",1
Panasonic Corporation,"Compression machines, plant, or systems with non-reversible cycle",1
Panasonic Corporation,Fittings or systems for preventing or indicating unauthorised use or theft of vehicles -Means to switch the anti-theft system on or off-using electronic identifiers containing a code not memorised by the user,1
Panasonic Corporation,"Gyroscopes; Turn-sensitive devices using vibrating masses; Turn-sensitive devices without moving masses; Measuring angular rate using gyroscopic effects-Turn-sensitive devices using vibrating masses, e.g. vibratory angular rate sensors based on Coriolis forces-using vibrating tuning forks",1
Panasonic Corporation,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Unipolar devices ; , e.g. field effect transistors-Field effect transistors-with field effect produced by a PN or other rectifying junction gate ; , i.e. potential-jump barrier-with a Schottky gate",1
Panasonic Corporation,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Unipolar devices ; , e.g. field effect transistors-Field effect transistors-with field effect produced by an insulated gate -DMOS transistors, i.e. MISFETs with a channel accommodating body or base region adjoining a drain drift region -Vertical DMOS transistors, i.e. VDMOS transistors-with trench gate electrode, e.g. UMOS transistors",1
Panasonic Intellectual Property Corporation of America,Measuring for diagnostic purposes ; Identification of persons-Devices for psychotechnics ; Testing reaction times ; ; Devices for evaluating the psychological state-for vehicle drivers ; or machine operators,1
Pfizer Inc.,"Heterocyclic compounds containing polymethylene-imine rings with at least five ring members, 3-azabicyclo [3.2.2.] nonane, piperazine, morpholine or thiomorpholine rings, having only hydrogen atoms directly attached to the ring carbon atoms-with substituted hydrocarbon radicals attached to ring nitrogen atoms-substituted by carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. ester or nitrile radicals",1
Phase Change Storage LLC,"Plants characterised by the use of steam or heat accumulators, or intermediate steam heaters, therein -having two or more accumulators",1
PixArt Imaging Inc.,"Details of switching devices, not covered by groups H01H1/00 - H01H7/00-Circuit arrangements not adapted to a particular application of the switching device and for which no provision exists elsewhere",1
Polight ASA,"Mountings, adjusting means, or light-tight connections, for optical elements-for lenses -with means for compensating for changes in temperature or for controlling the temperature; thermal stabilisation",1
"Powervision (Suzhou) Technology Co., Ltd.","Filters implantable into blood vessels; Prostheses, i.e. artificial substitutes or replacements for parts of the body; Appliances for connecting them with the body; Devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents -Prostheses implantable into the body -Eye parts, e.g. lenses, corneal implants; ; Implanting instruments specially adapted therefor; Artificial eyes-Intraocular lenses-Instruments for inserting intraocular lenses into the eye-with a lubricated inner surface, e.g. the lubricant being coated on the inner surface or being injected through a port",1
"Prince Industries, Inc.","Multiple-way valves, e.g. mixing valves; Pipe fittings incorporating such valves-with all movable sealing faces moving as one unit-comprising only lift valves",1
"Proteus Digital Health, Inc.","Measuring for diagnostic purposes ; Identification of persons-Remote monitoring of patients using telemetry, e.g. transmission of vital signals via a communication network -characterised by features of the telemetry system-Monitoring a patient using a global network, e.g. telephone networks, internet",1
"PyroPhase, Inc.","Thermal non-catalytic cracking, in the absence of hydrogen, of hydrocarbon oils",1
QUALCOMM Incorporated,"Arrangements for connecting or disconnecting semiconductor or solid-state bodies; Methods or apparatus related thereto-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Wire connectors; Manufacturing methods related thereto-Structure, shape, material or disposition of the wire connectors after the connecting process-of an individual wire connector",1
QUALCOMM Incorporated,"Communication routing or communication path finding-Connectivity information management, e.g. connectivity discovery or connectivity update-using a network of reference devices, e.g. beaconing",1
QUALCOMM Incorporated,"Power management, e.g. TPC [Transmission Power Control], power saving or power classes -TPC-using constraints in the total amount of available transmission power-TPC management, i.e. sharing limited amount of power among users or channels or data types, e.g. cell loading",1
QUALCOMM Incorporated,"Satellite radio beacon positioning systems; Determining position, velocity or attitude using signals transmitted by such systems-Determining a navigation solution using signals transmitted by a satellite radio beacon positioning system-the satellite radio beacon positioning system transmitting time-stamped messages, e.g. GPS [Global Positioning System], GLONASS [Global Orbiting Navigation Satellite System] or GALILEO-Determining position-by combining or switching between position solutions derived from the satellite radio beacon positioning system and position solutions derived from a further system",1
Quallion LLC,Secondary cells; Manufacture thereof-Methods or arrangements for servicing or maintenance of secondary cells or secondary half-cells -Accumulators structurally combined with charging apparatus,1
RENESAS ELECTRONICS CORPORATION,"Automatic systems in which deviations of an electric quantity from one or more predetermined values are detected at the output of the system and fed back to a device within the system to restore the detected quantity to its predetermined value or values, i.e. retroactive systems",1
RENESAS ELECTRONICS CORPORATION,"Conversion of ac power input into dc power output; Conversion of dc power input into ac power output-Conversion of dc power input into ac power output without possibility of reversal-by static converters-using discharge tubes with control electrode or semiconductor devices with control electrode-using devices of a triode or transistor type requiring continuous application of a control signal -using semiconductor devices only, e.g. single switched pulse inverters",1
"ROHM CO., LTD.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Electrodes ; ; Multistep manufacturing processes therefor-characterised by their shape, relative sizes or dispositions-not carrying the current to be rectified, amplified or switched-Gate electrodes for field effect devices-for field-effect transistors-with insulated gate-Disposition, e.g. buried gate electrode -within a trench, e.g. trench gate electrode, groove gate electrode",1
"ROHM CO., LTD.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Semiconductor bodies ; ; Multistep manufacturing processes therefor-characterised by their shape; characterised by the shapes, relative sizes, or dispositions of the semiconductor regions ; ; characterised by the concentration or distribution of impurities within semiconductor regions-characterised by particular constructional design considerations, e.g. for preventing surface leakage, for controlling electric field concentration or for internal isolations regions -for preventing surface leakage or controlling electric field concentration-for increasing or controlling the breakdown voltage of reverse biased devices -by the doping profile or the shape or the arrangement of the PN junction, or with supplementary regions, e.g. junction termination extension [JTE] -Reduced surface field [RESURF] pn-junction structures",1
"ROHM CO., LTD.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Bipolar devices-Transistor-type devices, i.e. able to continuously respond to applied control signals-Bipolar junction transistors-Vertical transistors-having emitter-base and base-collector junctions leaving at the same surface of the body, e.g. planar transistor",1
"ROHM CO., LTD.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable only by variation of the electric current supplied, or only the electric potential applied, to one or more of the electrodes carrying the current to be rectified, amplified, oscillated or switched-Diodes-Schottky diodes",1
RPX Corporation,"Arrangements, apparatus, circuits or systems, not covered by a single one of groups H04L1/00 - H04L27/00-characterised by the data terminal-Arrangements for addressing and naming in data networks",1
RPX-LV Acquisition LLC,"Arrangements, apparatus, circuits or systems, not covered by a single one of groups H04L1/00 - H04L27/00-characterised by the data terminal-Arrangements for addressing and naming in data networks",1
Raytheon Company,"Details of semiconductor or other solid state devices -Arrangements for cooling, heating, ventilating or temperature compensation ; ; Temperature sensing arrangements -involving the transfer of heat by flowing fluids -by flowing gases, e.g. air",1
Raytheon Company,"Weighing apparatus or methods adapted for special purposes not provided for in the preceding groups -for weighing wheeled or rolling bodies, e.g. vehicles-having electrical weight-sensitive devices",1
"Reliance Electric Technologies, LLC",Arrangements for cooling or ventilating -by ambient air flowing through the machine-having means for generating a flow of cooling medium-with fans or impellers driven by the machine shaft,1
Renault S.A.S.,"Arrangements for adjusting wheel-braking force to meet varying vehicular or ground-surface conditions, e.g. limiting or varying distribution of braking force -Using electrical or electronic regulation means to control braking -Brake regulation specially adapted to control the stability of the vehicle, e.g. taking into account yaw rate or transverse acceleration in a curve -specially adapted for enhancing driver or passenger comfort, e.g. soft intervention or pre-actuation strategies",1
Renesas Technology Corporation,"Erasable programmable read-only memories -electrically programmable-Auxiliary circuits, e.g. for writing into memory-Determination of programming status, e.g. threshold voltage, overprogramming or underprogramming, retention-Arrangements for evaluating degradation, retention or wearout, e.g. by counting erase cycles",1
"Rhevision Technology, Inc.",Simple or compound lenses -Fluid-filled or evacuated lenses-of variable focal length,1
"Ricoh Company, Ltd.","Programme-controlled manipulators-Programme controls -characterised by use of sensors other than normal servo-feedback from position, speed or acceleration sensors, perception control, multi-sensor controlled systems, sensor fusion-Vision controlled systems",1
"Ricoh Company, Ltd.",Radiation pyrometry-Details,1
"Rive Technology, Inc.","Compounds having molecular sieve and base-exchange properties, e.g. crystalline zeolites; Their preparation; After-treatment, e.g. ion-exchange or dealumination -Crystalline aluminosilicate zeolites; Isomorphous compounds thereof; Direct preparation thereof; Preparation thereof starting from a reaction mixture containing a crystalline zeolite of another type, or from preformed reactants; After-treatment thereof-After-treatment",1
Robert Bosch GmbH,"Arrangements for changing or varying the orientation or the shape of the directional pattern of the waves radiated from an antenna or antenna system -varying the orientation by switching energy from one active radiating element to another, e.g. for beam switching",1
Robert Bosch GmbH,"Arrangements for holding or mounting articles, not otherwise provided for-Mounting of cameras operative during drive; Arrangement of controls thereof relative to the vehicle",1
Robert Bosch GmbH,Arrangements or adaptations of optical signalling or lighting devices -the devices being primarily intended to illuminate the way ahead or to illuminate other areas of way or environments-the devices being headlights,1
Robert Bosch GmbH,"Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks -Electrical circuits for triggering ; passive;  safety arrangements, ; e.g. airbags, safety belt tighteners,;  in case of vehicle accidents or impending vehicle accidents -including means for detecting collisions, impending collisions or roll-over",1
Robert Bosch GmbH,"Casings; Enclosures; Supports -Casings or enclosures characterised by the shape, form or construction thereof-with ribs or fins for improving heat transfer",1
Robert Bosch GmbH,Control systems specially adapted for hybrid vehicles,1
Robert Bosch GmbH,"Controlling engines, dependent on conditions exterior or interior to engines, not otherwise provided for-on interior conditions-by determining the cylinder pressure",1
Robert Bosch GmbH,Dashboards -Arrangement of instruments,1
Robert Bosch GmbH,"Details of, or accessories for, apparatus for measuring steady or quasi-steady pressure of a fluent medium insofar as such details or accessories are not special to particular types of pressure gauges-Fluidic connecting means",1
Robert Bosch GmbH,"Devices or apparatus for measuring or indicating or recording rapid changes, such as oscillations, in the pressure of steam, gas, or liquid; Indicators for determining work or energy of steam, internal-combustion, or other fluid-pressure engines from the condition of the working fluid-specially adapted;  for measuring pressure in inlet or exhaust ducts of internal-combustion engines",1
Robert Bosch GmbH,"Electric devices on electrically-propelled vehicles for safety purposes; Monitoring operating variables, e.g. speed, deceleration or energy consumption -Indicating wheel slip ; ; Correction of wheel slip-of individual wheels",1
Robert Bosch GmbH,Electrical control of supply of combustible mixture or its constituents -Circuit arrangements for generating control signals-Introducing corrections for particular operating conditions -for acceleration,1
Robert Bosch GmbH,Electrical control of supply of combustible mixture or its constituents -Circuit arrangements for generating control signals-Introducing corrections for particular operating conditions -for idling -taking into account the temperature of the engine,1
Robert Bosch GmbH,"Engine-pertinent apparatus for adding non-fuel substances or small quantities of secondary fuel to combustion-air, main fuel or fuel-air mixture -adding fuel vapours drawn from engine fuel reservoir -Judging failure of purge control system-having means for pressurising the evaporative emission space",1
Robert Bosch GmbH,"Fuel-injection apparatus characterised by having a cyclic delivery of specific time/pressure or time/quantity relationship -with each cyclic delivery being separated into two or more parts-with a small initial part ; , e.g. initial part for partial load and initial and main part for full load-Injectors peculiar thereto-Having more than one injection-valve controlling discharge orifices",1
Robert Bosch GmbH,"Measuring acceleration; Measuring deceleration; Measuring shock, i.e. sudden change of acceleration-by making use of inertia forces ; using solid seismic masses-with conversion into electric or magnetic values-by capacitive pick-up",1
Robert Bosch GmbH,"Measuring arrangements characterised by the use of electric or magnetic means-for measuring position, not involving coordinate determination",1
Robert Bosch GmbH,"Programme-control systems -electric-Programme control other than numerical control, i.e. in sequence controllers or logic controllers -using digital processors -Safety, monitoring",1
Robert Bosch GmbH,Safety arrangements -electric,1
Robert Bosch GmbH,Sealings-between relatively-stationary surfaces -with solid packing compressed between sealing surfaces-characterised by the geometry of the seat,1
Robert Bosch GmbH,"Systems using the reflection or reradiation of radio waves, e.g. radar systems; Analogous systems using reflection or reradiation of waves whose nature or wavelength is irrelevant or unspecified-Radar or analogous systems specially adapted for specific applications -for anti-collision purposes-of land vehicles",1
Rochester Institute of Technology,Subject matter not provided for in other groups of this subclass-Microvalves,1
"Rockwell Automation Technologies, Inc.",Details of apparatus for conversion-Circuits or arrangements for compensating for electromagnetic interference in converters or inverters,1
Rolls-Royce PLC,"Arrangements for controlling electric generators for the purpose of obtaining a desired output -Control effected upon generator excitation circuit to reduce harmful effects of overloads or transients, e.g. sudden application of load, sudden removal of load, sudden change of load-for increasing the stability",1
Rosemount Aerospace Inc.,Devices or apparatus for measuring differences of two or more fluid pressure values-using elastically-deformable members or pistons as sensing elements-using capsules,1
Rudolph Bergsma Trust,"Indicating or measuring liquid level, or level of fluent solid material, e.g. indicating in terms of volume, indicating by means of an alarm-by floats-using rotatable arms or other pivotable transmission elements-using magnetically actuated indicating means",1
Rujan Entwicklung und Forschung GmbH,"Record carriers for use with machines and with at least a part designed to carry digital markings-characterised by the kind of the digital marking, e.g. shape, nature, code-with optically detectable marking -Constructional details-the marking being selective to wavelength, e.g. color barcode or barcodes only visible under UV or IR",1
"SAMSUNG ELECTRONICS CO., LTD.","Details of television systems -Transforming light or analogous information into electric information -using solid-state image sensors [SSIS] -SSIS architecture; Circuitry associated therewith-Addressed sensors, e.g. MOS or CMOS sensors-having additional components embedded within a pixel or connected to a group of pixels within a sensor matrix, e.g. memories, A/D converters, pixel amplifiers, shared circuits or shared components",1
"SAMSUNG ELECTRONICS CO., LTD.","Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Input arrangements using manually operated switches, e.g. using keyboards or dials-Constructional details or processes of manufacture of the input device-Special purpose keyboards",1
"SAMSUNG ELECTRONICS CO., LTD.","Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Interaction techniques based on graphical user interfaces [GUI]-for the control of specific functions or operations, e.g. selecting or manipulating an object or an image, setting a parameter value or selecting a range-for image manipulation, e.g. dragging, rotation",1
"SAMSUNG ELECTRONICS CO., LTD.","Power management, e.g. TPC [Transmission Power Control], power saving or power classes -Power saving arrangements -in terminal devices -managed by the network, e.g. network or access point is master and terminal is slave-using a pre-established activity schedule, e.g. traffic indication frame",1
"SAMSUNG ELECTRONICS CO., LTD.","Traffic control systems for road vehicles -Anti-collision systems -for active traffic, e.g. moving vehicles, pedestrians, bikes",1
"SANGO CO., LTD.","Exhaust or silencing apparatus characterised by constructional features ; ; Exhaust or silencing apparatus, or parts thereof, having pertinent characteristics not provided for in, or of interest apart from, groups F01N1/00 - F01N5/00, F01N9/00, F01N11/00-Construction facilitating manufacture, assembly, or disassembly-characterised by the type of connection between parts of exhaust or silencing apparatus, e.g. between housing and tubes, between tubes and baffles",1
SAP SE,"Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Interaction techniques based on graphical user interfaces [GUI]-based on specific properties of the displayed interaction object or a metaphor-based environment, e.g. interaction with desktop elements like windows or icons, or assisted by a cursor's changing behaviour or appearance-using icons",1
SCHLUMBERGER TECHNOLOGY CORPORATION,"Drill bits -characterised by wear resisting parts, e.g. diamond inserts-Button-type inserts -with preformed cutting elements mounted on a distinct support, e.g. polycrystalline inserts",1
"SD3, LLC",Safety guards or devices specially adapted for wood saws; Auxiliary devices facilitating proper operation of wood saws-for circular saws,1
SEG Automotive Germany GmbH,"Measuring arrangements characterised by the use of electric or magnetic means-for measuring position, not involving coordinate determination",1
SEIKO EPSON CORPORATION,"Apparatus or processes specially adapted for the manufacture of impedance networks, resonating circuits, resonators-for the manufacture of electromechanical resonators or networks-for the manufacture of piezo-electric or electrostrictive resonators or networks",1
SEIKO EPSON CORPORATION,"Devices comprising flexible or deformable elements, e.g. comprising elastic tongues or membranes -Constitution or structural means for controlling the movement of the flexible or deformable elements-For defining the movement, i.e. structures that guide or limit the movement of an element",1
SEIKO EPSON CORPORATION,"Gyroscopes; Turn-sensitive devices using vibrating masses; Turn-sensitive devices without moving masses; Measuring angular rate using gyroscopic effects-Turn-sensitive devices using vibrating masses, e.g. vibratory angular rate sensors based on Coriolis forces-using vibrating bars or beams",1
SEIKO EPSON CORPORATION,"Gyroscopes; Turn-sensitive devices using vibrating masses; Turn-sensitive devices without moving masses; Measuring angular rate using gyroscopic effects-Turn-sensitive devices using vibrating masses, e.g. vibratory angular rate sensors based on Coriolis forces-using vibrating tuning forks",1
SEIKO EPSON CORPORATION,"Measuring acceleration; Measuring deceleration; Measuring shock, i.e. sudden change of acceleration-by making use of inertia forces ; using solid seismic masses-with conversion into electric or magnetic values-by vibratory elements",1
SEIKO PRECISION INC.,Toothed gearings for conveying rotary motion -with gears having orbital motion-in which the central axis of the gearing lies inside the periphery of an orbital gear,1
SEMCO LLC,"Air-conditioning systems or apparatus not covered by F24F1/00 or F24F3/00 ; , e.g. using solar heat or combined with household units such as an oven or water heater-cooling apparatus specially adapted for use in air-conditioning",1
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC","Details of semiconductor or other solid state devices -Arrangements for conducting electric current to or from the solid state body in operation, e.g. leads, terminal arrangements ; ; Selection of materials therefor-consisting of soldered ; or bonded;  constructions -Lead-frames ; or other flat leads -characterised by the die pad-having bonding material between chip and die pad",1
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",Printed circuits-Details-Structural association of two or more printed circuits -Stacked arrangements of planar printed circuit boards,1
SEUFFER GMBH & CO. KG,"Details of measuring arrangements of the types provided for in groups G01R17/00 - G01R29/00, G01R33/00 - G01R33/26 or G01R35/00-Adaptations providing voltage or current isolation, e.g. for high-voltage or high-current networks-using galvano-magnetic devices, e.g. Hall-effect devices ; , i.e. measuring a magnetic field via the interaction between a current and a magnetic field, e.g. magneto resistive or Hall effect devices-Constructional details independent of the type of device used",1
SHARP KABUSHIKI KAISHA,Baseband systems-Details ; ; Arrangements for supplying electrical power along data transmission lines -Channel estimation-of frequency response,1
"SHIBAURA ELECTRONICS CO., LTD.","Measuring temperature based on the use of electric or magnetic elements directly sensitive to heat ;  ; ; Power supply therefor, e.g. using thermoelectric elements-using resistive elements -the element being a non-linear resistance, e.g. thermistor",1
"SHINDENGEN ELECTRIC MANUFACTURING CO., LTD.","Electronic switching or gating, i.e. not by contact-making and –breaking -Modifications for compensating variations of physical values, e.g. of temperature",1
SIEMENS AKTIENGESELLSCHAFT,"Apparatus or systems for feeding liquid fuel from storage containers to carburettors or fuel-injection apparatus; Arrangements for purifying liquid fuel specially adapted for, or arranged on, internal-combustion engines-Constructional details; Manufacturing or assembly of elements of fuel systems; Materials therefor-related to fuel pipes or their connections, e.g. joints or sealings",1
SIEMENS AKTIENGESELLSCHAFT,Conversion of ac power input into dc power output; Conversion of dc power input into ac power output-Conversion of dc power input into ac power output without possibility of reversal-by static converters-using discharge tubes with control electrode or semiconductor devices with control electrode-Converters with outputs that each can have more than two voltages levels-Neutral point clamped inverters,1
SIEMENS AKTIENGESELLSCHAFT,"Investigating or analysing materials by specific methods not covered by groups G01N1/00 - G01N31/00-Gaseous mixtures, e.g. polluted air -General constructional details of gas analysers, e.g. portable test equipment -concerning the detector-Specially adapted to detect a particular component -for CO, CO2",1
SILICON LIGHT MACHINES CORPORATION,"Light guides-Coupling light guides -Optical coupling means -having data bus means, i.e. plural waveguides interconnected and providing an inherently bidirectional system by mixing and splitting signals-with wavelength selective means -characterised by the function or use of the complete device-configurable, e.g. tunable or reconfigurable",1
SILICON LIGHT MACHINES CORPORATION,"Optical devices or arrangements using movable or deformable optical elements for controlling the intensity, colour, phase, polarisation or direction of light, e.g. switching, gating, modulating -for controlling the direction of light -by means of one or more diffracting elements",1
SJ SEMICONDUCTOR (JIANGYIN) CORPORATION,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Electrodes ; ; Multistep manufacturing processes therefor-characterised by their shape, relative sizes or dispositions-not carrying the current to be rectified, amplified or switched-Gate electrodes for field effect devices-for field-effect transistors-with insulated gate-Disposition, e.g. buried gate electrode -within a trench, e.g. trench gate electrode, groove gate electrode",1
"SK TELECOM CO., LTD.","Locating users or terminals ; or network equipment;  for network management purposes, e.g. mobility management",1
"SK TELECOM CO., LTD.","Supervisory, monitoring or testing arrangements-Arrangements for optimising operational condition",1
SK hynix Inc.,"Electronic switching or gating, i.e. not by contact-making and –breaking -Modifications for ensuring a predetermined initial state when the supply voltage has been applied -in field-effect transistor switches",1
SL Corporation,"Controlling members, e.g. knobs or handles; Assemblies or arrangements thereof; Indicating position of controlling members -Controlling members actuated by foot-comprising means to continuously detect pedal position",1
"SOLOMON SYSTEMS, INC.",Electrodynamic brake systems for vehicles in general-Dynamic electric regenerative braking,1
SONY CORPORATION,Connection management-Connection setup-Allocation or use of connection identifiers,1
SONY CORPORATION,Connection management-Connection setup-Direct-mode setup,1
SONY CORPORATION,"Details of television systems -Receiver circuitry ; for the reception of television signals according to analogue transmission standards;  -for displaying additional information -Circuit details of the additional information generator, e.g. details of the character or graphics signal generator, overlay mixing circuits",1
SONY CORPORATION,"Details of television systems -Studio circuitry; Studio devices; Studio equipment ; ; Cameras comprising an electronic image sensor, e.g. digital cameras, video cameras, TV cameras, video cameras, camcorders, webcams, camera modules for embedding in other devices, e.g. mobile phones, computers or vehicles-Television cameras ; ; Cameras comprising an electronic image sensor, e.g. digital cameras, video cameras, camcorders, webcams, camera modules specially adapted for being embedded in other devices, e.g. mobile phones, computers or vehicles -Devices for controlling television cameras, e.g. remote control ; ; Control of cameras comprising an electronic image sensor;  -Electronic viewfinders-Graphical User Interface [GUI] specifically adapted for controlling image capture or setting capture parameters, e.g. using a touchscreen",1
SONY CORPORATION,"Devices consisting of a plurality of semiconductor or other solid-state components formed in or on a common substrate -including semiconductor components specially adapted for rectifying, oscillating, amplifying or switching and having at least one potential-jump barrier or surface barrier; including integrated passive circuit elements with at least one potential-jump barrier or surface barrier-the substrate being other than a semiconductor body, e.g. an insulating body-the substrate comprising an insulating body on a semiconductor body, e.g. SOI",1
SONY CORPORATION,"Network architectures or network communication protocols for network security -for providing a confidential data exchange among entities communicating through data packet networks-wherein the data content is protected, e.g. by encrypting or encapsulating the payload-wherein the sending and receiving network entities apply symmetric encryption, i.e. same key used for encryption and decryption",1
SONY CORPORATION,Services specially adapted for wireless communication networks; Facilities therefor,1
SONY CORPORATION,"Substation equipment, e.g. for use by subscribers -Mobile telephones; Cordless telephones, i.e. devices for establishing wireless links to base stations without route selection-User interfaces specially adapted for cordless or mobile telephones-wherein functions are triggered by incoming communication events",1
SONY EUROPE B.V.,Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-with correlation of data from several navigational instruments,1
SPAL AUTOMOTIVE S.R.L.,"Details, component parts, or accessories -Rotors specially for elastic fluids-for axial flow pumps-Blades -characterised by form-Skewed blades",1
"SPIN MEMORY, INC.",Checking stores for correct operation ; ; Subsequent repair; Testing stores during standby or offline operation-Masking faults in memories by using spares or by reconfiguring-using address translation or modifications,1
"SPX Technologies, Inc.",Testing of engines-Details or accessories of testing apparatus,1
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,"Estimation or calculation of ; non-directly measurable;  driving parameters for road vehicle drive control systems not related to the control of a particular sub unit, ; e.g. by using mathematical models-related to drivers or passengers",1
STMicroelectronics (Crolles 2) SAS,"Arrangements or methods for the control of AC motors characterised by the kind of supply voltage -using variable-frequency supply voltage, e.g. inverter or converter supply voltage-using dc to ac converters or inverters -with pulse width modulation",1
STMicroelectronics (Crolles 2) SAS,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Unipolar devices ; , e.g. field effect transistors-Field effect transistors-with field effect produced by an insulated gate -DMOS transistors, i.e. MISFETs with a channel accommodating body or base region adjoining a drain drift region -Vertical DMOS transistors, i.e. VDMOS transistors-structurally associated with at least one other device -the other device being a Schottky barrier diode",1
"STRATEGIC DESIGN FEDERATION W, LLC","Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Special cost functions, i.e. other than distance or default speed limit of road segments-employing speed data or traffic data, e.g. real-time or historical",1
SUBARU CORPORATION,"Engine-pertinent apparatus for adding exhaust gases to combustion-air, main fuel or fuel-air mixture, e.g. by exhaust gas recirculation [EGR] systems-Arrangement or layout of EGR passages, e.g. in relation to specific engine parts or for incorporation of accessories-in relation to the intake system",1
